cta,n,valid_n,median,q1,q3,mean,trimmed_mean,winsorized_mean,bootstrap_median_ci_low,bootstrap_median_ci_high,sample_note
Follow @budgetfitzz for more.,28,28,6.2562821948548475,5.315675811043925,6.370286637188228,5.840047701954329,5.913101361121803,5.839890164215417,5.376425582145829,6.333146140367742,cautious
"Follow then Comment ""LINK"" for links 🖇",18,18,6.394222448830924,5.4618702766961835,6.423936980647658,5.94914701350193,6.022342728340195,5.951445307504638,5.505370585259901,6.419376790517242,cautious
Missing,14,14,6.3509972989152015,6.2862453958275815,6.4011105014405825,6.222713245392043,6.2771206068167205,6.225610968703906,6.282344823260044,6.398857139662387,cautious
"Follow & Comment ""Link"" for links 🖇",5,5,6.342403570613446,6.276481149012568,6.37105078207999,6.17532229530809,6.17532229530809,6.205756533558415,5.358168638446283,6.528507336388166,cautious
Follow @budgetfitzz for more budget fashion finds.,5,5,5.39131221719457,5.250818800212748,5.4367754111620386,5.496123836300751,5.496123836300751,5.467559094638366,4.899444444444445,6.502268308489954,cautious
Follow @budgetfitzz for daily budget fashion inspo 🔥,5,5,4.424764288280699,4.249140955619055,5.320255923504184,4.719582930437992,4.719582930437992,4.718208666211481,4.201057555774307,5.402695929011719,cautious
Follow @budgetfitzz for daily men’s fashion inspo 🌟,4,4,6.4612801050558835,6.083760593677368,6.609679582887809,6.232160071509293,6.232160071509293,6.266528076541282,5.393195077707507,6.612884998217902,directional
Follow @budgetfitzz for more!,4,4,6.458710945744745,6.382370329058993,6.5104700619576406,6.43412944527189,6.43412944527189,6.437816670342818,6.243705941591138,6.575389948006932,directional
"Follow then Comment ""Link"" for links 🖇",4,4,6.399394139378106,6.149131624024884,6.968101674175427,6.717839158822205,6.717839158822205,6.670072405905591,5.40590168986594,8.666666666666668,directional
"Follow @budgetfitzz for daily budget outfits, affordable fashion finds, and styling tips.",4,4,6.395693942117569,6.3547025128398875,6.413874872002603,6.372883442724921,6.372883442724921,6.376305017633818,6.25354394491697,6.4466019417475735,directional
"Follow then Comment ""LINK"" for links",4,4,6.306925839776296,5.80945486830851,6.3542628059798645,5.856791834512079,5.856791834512078,5.924311935301711,4.3473099927733445,6.4660056657223794,directional
Follow @budgetfitzz for daily budget outfit inspiration.,4,4,5.285555719425737,5.009716233016485,5.5552774624353765,5.2794379760261245,5.2794379760261245,5.280355637536067,4.185882962579117,6.360757502673908,directional
Follow @budgetfitzz for daily men's fashion inspo 🌟,3,3,6.52104786830712,5.941920127297069,7.7656613715822065,6.964705043150477,6.964705043150477,6.920339325666141,5.362792386287019,9.010274874857293,directional
Follow @budgetfitzz for more affordable fashion finds 🌟,3,3,5.5097970198286985,4.9382508498705535,5.516275146497545,5.1330849909691665,5.1330849909691665,5.170756193855119,4.3667046799124085,5.5227532731663915,directional
Follow @budgetfitzz for daily budget outfit inspo 🌟,3,3,5.350162066594637,4.8198309317554235,5.389824333847711,5.023049488203878,5.023049488203878,5.055760746042953,4.2894997969162105,5.429486601100785,directional
Save this before summer ends 🔖,3,3,5.336625452352232,4.805527461619145,5.867712125575515,5.336617907345697,5.336617907345697,5.336618661846351,4.274429470886059,6.398798798798799,directional
"Follow then Comment ""POLO"" for links 🖇",2,2,7.790785033015407,7.141349963316214,8.440220102714601,7.790785033015407,7.790785033015407,7.790785033015407,6.491914893617021,9.089655172413794,anecdotal
Follow @budgetfitzz for more budget men's fashion.,2,2,6.333653981940903,6.286113812135984,6.381194151745822,6.333653981940903,6.333653981940903,6.333653981940903,6.2385736423310645,6.428734321550741,anecdotal
Save this before you forget 🔖,2,2,5.946422335255405,5.661736544198748,6.231108126312062,5.946422335255405,5.946422335255405,5.946422335255405,5.37705075314209,6.51579391736872,anecdotal
Follow @budgetfitzz for daily outfit inspiration,2,2,5.185592898673566,5.167475268781228,5.203710528565905,5.185592898673566,5.185592898673566,5.185592898673566,5.149357638888889,5.221828158458244,anecdotal
Follow @budgetfitzz for daily affordable men’s fashion inspo 🌟,1,1,66.01715277777778,66.01715277777778,66.01715277777778,66.01715277777778,66.01715277777778,66.01715277777778,66.01715277777778,66.01715277777778,anecdotal
"Follow @budgetfitzz for daily affordable men's fashion inspiration, outfit ideas, and styling tips.",1,1,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,8.71934604904632,anecdotal
Follow @budgetfitzz for daily affordable men's fashion.,1,1,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,8.515361392292666,anecdotal
Follow @budgetfitzz for more men's fashion content.,1,1,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,8.445265278710544,anecdotal
"Save this for your next college, party or casual outfit idea 🔖",1,1,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,7.958020833333333,anecdotal
Follow @budgetfitzz for more men's fashion and budget outfit ideas.,1,1,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,6.568840344849939,anecdotal
"Follow @budgetfitzz for more budget-friendly fashion finds, sneakers, footwear deals, and daily men's style inspiration.",1,1,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,6.505516549648947,anecdotal
"Follow + Comment ""LINK"" 😁 for links 🖇",1,1,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,6.503974028881674,anecdotal
Follow @aristostyling for more.,1,1,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,6.491015867458183,anecdotal
"Follow @budgetfitzz for more budget fashion, streetwear finds, and affordable outfit ideas.",1,1,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,6.439867109634552,anecdotal
Follow @budgetfitzz for daily budget fashion fits 🔥,1,1,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,6.406304022127464,anecdotal
"Follow then Comment ""LINK"" for shirt links 🖇",1,1,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,6.370833058131964,anecdotal
"Follow & Comment ""LINK"" for outfits links 🖇",1,1,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,6.370280146163215,anecdotal
"Follow then Comment ""LINK"" for outfits links 🖇",1,1,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,6.323666978484566,anecdotal
Follow @budgetfitzz for more budget-friendly men's fashion and outfit inspiration.,1,1,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,6.316546762589928,anecdotal
Follow @budgetfitzz for more affordable men’s fashion inspiration.,1,1,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,6.308103294746216,anecdotal
"Follow + Comment ""Shirt"" 😁 for links 🖇",1,1,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,6.2894736842105265,anecdotal
"Follow & Comment ""LINK"" for links 🖇",1,1,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,6.248175182481751,anecdotal
Follow @budgetfitzz for daily budget outfit inspiration. 🌟,1,1,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,6.2267967898984065,anecdotal
"Follow then Comment ""Link"" for all outfits links 🖇",1,1,5.769813675670857,5.769813675670857,5.769813675670857,5.769813675670857,5.769813675670857,5.769813675670857,5.769813675670857,5.769813675670857,anecdotal
Follow @budgetfitzz for daily affordable men's fashion inspo 🌟,1,1,5.759629868732516,5.759629868732516,5.759629868732516,5.759629868732516,5.759629868732516,5.759629868732516,5.759629868732516,5.759629868732516,anecdotal
Follow @budgetfitzz for more affordable men's fashion finds.,1,1,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,5.46638212161903,anecdotal
"Follow + Comment ""LINK"" 😁 for shirt links 🖇",1,1,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,5.424537211938043,anecdotal
"Follow @budgetfitzz for daily budget outfits, styling tips, and affordable fashion finds.",1,1,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,5.356408689371632,anecdotal
FOLLOW THEN COMMENT “LINK” FOR ALL LINKS 👇,1,1,5.328406209413075,5.328406209413075,5.328406209413075,5.328406209413075,5.328406209413075,5.328406209413075,5.328406209413075,5.328406209413075,anecdotal
Follow @budgetfitzz for more budget-friendly men's fashion.,1,1,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,5.303868502746159,anecdotal
Follow @budgetfitzz for more affordable men's fashion inspiration.,1,1,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,5.297835710772258,anecdotal
Follow @budgetfitzz for daily outfit inspiration 🔥,1,1,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,5.276345365595663,anecdotal
Follow @budgetfitzz for more men's fashion tips and budget outfit ideas.,1,1,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,4.607654962176809,anecdotal
All under ₹300/- 💸 Save this 🔖,1,1,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,4.258362113263465,anecdotal
"Follow @budgetfitzz for more men's fashion inspiration, outfit ideas, and style content.",1,1,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,4.185381655002303,anecdotal
