hook,n,valid_n,median,q1,q3,mean,trimmed_mean,winsorized_mean,bootstrap_median_ci_low,bootstrap_median_ci_high,sample_note
Shirts you must have >>>>,6,6,5.83042691900899,5.245718075674817,6.360497213397024,5.643287798393398,5.643287798393398,5.684001628664391,4.717859117976769,6.381577358194433,cautious
"Save this color guide, you’ll need it later >>",4,4,6.189212393390984,5.6756590261800195,6.609679582887809,6.096126215676843,6.096126215676843,6.1100891423339645,5.393195077707507,6.612884998217902,directional
The 3rd combination 😩✨>>>>,4,4,5.8220968037171,5.389550405925737,6.29130893903453,5.858762541243167,5.858762541243167,5.853262680614257,5.341479832237353,6.449376725301114,directional
Men in these outfits 😩✨️🌸 >>>>>,3,3,6.48883009994121,6.458710945744745,6.532110023974071,6.497603946498807,6.497603946498807,6.496726561843047,6.428591791548278,6.575389948006932,directional
Men in these shirts ✨ >>>>,3,3,6.443430656934307,5.390107175655287,6.452889231980295,5.74752071944562,5.74752071944562,5.817111713194488,4.336783694376267,6.462347807026283,directional
"Follow & Comment ""Link"" for links 🖇",3,3,6.342403570613446,5.850286104529864,6.356727176346718,6.023874330379907,6.023874330379907,6.055727254403261,5.358168638446283,6.37105078207999,directional
The last combination 😩✨>>>>,3,3,6.31715210355987,5.79309206969244,6.322286325246306,5.9712015621058745,5.9712015621058745,6.005796616251274,5.269032035825009,6.327420546932743,directional
Men in these outfit combos ✨🫠>>>,3,3,5.328406209413075,4.804393479386409,5.3573691581476375,4.998373021885006,4.998373021885006,5.031376340637813,4.280380749359743,5.3863321068822,directional
Follow to learn the fashion details most men ignore.,2,2,35.88839132325515,20.824010595993833,50.952772050516465,35.88839132325515,35.88839132325515,35.88839132325515,5.759629868732516,66.01715277777778,anecdotal
Must Have Polo for Men >>>,2,2,7.790785033015407,7.141349963316214,8.440220102714601,7.790785033015407,7.790785033015407,7.790785033015407,6.491914893617021,9.089655172413794,anecdotal
Aura of Boots 💀 >>>,2,2,6.482299702031174,6.467196362643494,6.4974030414188535,6.482299702031174,6.482299702031174,6.482299702031174,6.452093023255815,6.512506380806533,anecdotal
