id,format,metric,value,lower_fence,upper_fence,treatment
82,video,engagement_rate_by_reach,66.01715277777778,0.5194492310054448,13.312908689064999,Preserved in raw; robust summaries reported separately
5,post,engagement_rate_by_reach,9.089655172413794,3.8019310140954317,7.964228006606332,Preserved in raw; robust summaries reported separately
55,post,engagement_rate_by_reach,8.666666666666668,3.8019310140954317,7.964228006606332,Preserved in raw; robust summaries reported separately
82,video,engagements,3802588.0,-314316.0,526596.0,Preserved in raw; robust summaries reported separately
87,post,engagements,458382.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
81,post,engagements,380656.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
75,post,engagements,296603.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
98,post,engagements,208578.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
84,post,engagements,203900.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
83,post,engagements,155975.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
92,post,engagements,132080.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
79,post,engagements,120563.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
73,post,engagements,89284.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
80,post,engagements,89086.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
74,post,engagements,82441.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
85,post,engagements,72286.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
27,post,engagements,70684.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
33,post,engagements,67452.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
70,post,engagements,58738.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
77,post,engagements,58078.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
106,post,engagements,56545.0,-23815.0,49753.0,Preserved in raw; robust summaries reported separately
87,post,impressions,8246370.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
98,post,impressions,8025707.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
75,post,impressions,7768158.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
81,post,impressions,7068570.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
84,post,impressions,5677585.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
83,post,impressions,4735561.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
79,post,impressions,4259058.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
92,post,impressions,3870617.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
80,post,impressions,3010639.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
74,post,impressions,2963650.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
33,post,impressions,2785090.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
73,post,impressions,2760304.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
85,post,impressions,2609637.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
27,post,impressions,2594960.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
70,post,impressions,2352190.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
106,post,impressions,1694943.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
77,post,impressions,1677754.0,-679720.5,1383915.5,Preserved in raw; robust summaries reported separately
75,post,reach,5760000.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
81,post,reach,5760000.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
87,post,reach,5760000.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
98,post,reach,4862525.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
84,post,reach,4669425.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
83,post,reach,3649025.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
92,post,reach,3045575.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
79,post,reach,2869825.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
80,post,reach,2092025.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
73,post,reach,2017825.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
74,post,reach,1933725.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
85,post,reach,1688775.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
27,post,reach,1625925.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
33,post,reach,1601425.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
70,post,reach,1382350.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
77,post,reach,1370225.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
106,post,reach,1350850.0,-478685.0,954475.0,Preserved in raw; robust summaries reported separately
82,video,video_views,68233334.0,-5626104.0,10713200.0,Preserved in raw; robust summaries reported separately
