post_hour,n,valid_n,median,q1,q3,mean,trimmed_mean,winsorized_mean,bootstrap_median_ci_low,bootstrap_median_ci_high,sample_note
2,27,27,5.424537211938043,5.281564740642431,6.435997676368395,5.673137176450613,5.656048570153496,5.625077042286124,5.311713660842368,6.406304022127464,cautious
12,22,22,5.516275146497545,5.32061632041806,6.346798488904215,5.815960564729912,5.770114404952484,5.7026940022186885,5.350162066594637,6.316546762589928,cautious
7,19,19,6.31715210355987,5.36733745497243,6.428615746164407,5.866881647370397,5.927227327273165,5.918143429000112,5.393195077707507,6.428497170778074,cautious
15,11,11,6.25354394491697,5.285514481400256,6.443824988341035,5.928335463751093,5.999016682318591,5.948007814086359,5.193978209658422,6.4466019417475735,cautious
14,9,9,6.2385736423310645,5.405573930488532,6.452093023255815,5.834080219860137,5.834080219860137,5.882375215145531,5.40091524074811,6.491015867458183,cautious
17,7,7,6.3850478245810365,5.269412343118011,8.480313335501606,6.827745500160288,6.827745500160288,6.820351367222393,5.221828158458244,8.515361392292666,cautious
4,7,7,6.34511220015476,6.277817431505681,6.403790824212463,6.206102577096904,6.206102577096904,6.245294866773252,6.238619676945668,6.41025641025641,cautious
5,6,6,6.34193379075035,6.309281670914839,6.394197703028758,6.004773766649225,6.004773766649225,6.0912428607237175,5.246742474874259,6.425645034323065,cautious
8,6,6,6.306229037309623,5.66183038683471,6.369195516633347,6.036831249887505,6.036831249887505,6.03957712217068,5.393319022561607,6.4109456897912835,cautious
6,5,5,6.394342102518098,6.392081120231772,6.396363777430075,6.294184841060125,6.294184841060125,6.314197148761772,5.759629868732516,6.528507336388166,cautious
9,5,5,6.342403570613446,6.325785817996311,6.388422035480859,6.363096253321098,6.363096253321098,6.361309773759589,6.243705941591138,6.5151639009237305,cautious
3,5,5,6.268933539412674,6.24363085029702,6.388297872340426,6.131580544949555,6.131580544949555,6.166576075347147,5.358168638446283,6.398871824251372,cautious
13,4,4,6.232681087384896,5.694168663651214,6.890127001814312,6.351614578080629,6.351614578080629,6.333774554476269,4.274429470886059,8.666666666666668,directional
10,4,4,5.84133322690022,5.151359121415353,6.270715525386761,5.580741419901893,5.5807414199018925,5.619830190951642,4.263325964136576,6.376973261670554,directional
11,4,4,5.254417591077402,4.2092634054445055,6.329775318002243,5.284621132369347,5.284621132369347,5.280090601175555,4.201057555774307,6.428591791548278,directional
16,3,3,8.71934604904632,7.523383297989532,37.36824941341205,27.02130645791895,27.02130645791895,25.191110417031684,6.327420546932743,66.01715277777778,directional
1,3,3,6.370280146163215,6.329876915186871,6.4295551230522126,6.3828613101049845,6.3828613101049845,6.381603193710807,6.2894736842105265,6.48883009994121,directional
0,2,2,6.543948164406732,6.528227272606633,6.5596690562068325,6.543948164406732,6.543948164406732,6.543948164406732,6.512506380806533,6.575389948006932,anecdotal
23,1,1,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,anecdotal
